'CNPJ';'Outlet';'Cidade';'2017/09';'2017/10';'2017/11';'Total Geral'
7400000000000;'FCIA RICARDO HENRIQUE';'CATANDUVA';2;2;;4
7400000000000;'FARMACIA SANTA TEREZINHA';'BATURITE';;1;;1
7400000000000;'DROG VITORIA';'TAILANDIA';7;;;7
7400000000000;'CENTRAL FARMA';'PONTE NOVA';;2;;2
7410000000000;'DROG BRANDAO DE JAPUIBA';'JAPUIBA (CACHOEIRAS DE MACACU)';;1;;1
7410000000000;'FARMACIA CAVALCANTE';'BELO JARDIM';;3;;3
7410000000000;'DROG MAX';'RIO DE JANEIRO';8;5;;13
7410000000000;'DROG MAX';'RIO DE JANEIRO';8;7;;15
7410000000000;'DROGARIA ATUAL';'ITAGUAI';13;10;;22
7410000000000;'DROGARIA ATUAL';'ITAGUAI';14;11;;25
7410000000000;'FCIA SOUSA';'JOSELANDIA';1;3;;4
7410000000000;'VIVA MAIS';'RIO DE JANEIRO';1;;;1
7410000000000;'DROG G';'SAO VICENTE';;8;;8
7410000000000;'DROG ALTERNATIVA';'GUARUJA';3;;;3
7410000000000;'FCIA CHAVES';'PAULISTA';;3;;3
7410000000000;'FCIA CHAVES';'RECIFE';;4;;4
7420000000000;'DROGAMAIS CENTER';'IBIPORA';;5;;5
7420000000000;'DROG VITAPHARMA';'CORUMBAIBA';;1;;1
7420000000000;'DROG BASSI';'SANTA RITA DO PASSA QUATRO';4;4;;8
7420000000000;'CITYFARMA';'ITAPERUNA';8;2;;10
7420000000000;'DROG EXXI PHARMA';'BARRA MANSA';3;2;;5
7420000000000;'FCIA PONTO COM';'GOIANIA';3;2;;5
7420000000000;'DROG DOMAQUIRO';'PORTO ALEGRE';1;;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'VOTORANTIM';6;11;;17
7420000000000;'REMEDIO POPULAR FARMA PONTE';'VOTORANTIM';1;2;;3
7420000000000;'REMEDIO POPULAR FARMA PONTE';'PIEDADE';7;5;1;13
7420000000000;'REMEDIO POPULAR FARMA PONTE';'PIEDADE';1;;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'MAIRINQUE';2;2;1;5
7420000000000;'REMEDIO POPULAR FARMA PONTE';'MAIRINQUE';;1;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'BOITUVA';3;6;;9
7420000000000;'REMEDIO POPULAR FARMA PONTE';'BOITUVA';1;1;;2
7420000000000;'REMEDIO POPULAR FARMA PONTE';'CAPELA DO ALTO';2;9;;11
7420000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';4;1;;5
7420000000000;'REMEDIO POPULAR FARMA PONTE';'ARACOIABA DA SERRA';2;1;;3
7420000000000;'REMEDIO POPULAR FARMA PONTE';'ARACOIABA DA SERRA';;1;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'JUNDIAI';;2;;2
7420000000000;'REMEDIO POPULAR FARMA PONTE';'JUNDIAI';3;5;2;10
7420000000000;'REMEDIO POPULAR FARMA PONTE';'JUNDIAI';;;2;2
7420000000000;'REMEDIO POPULAR FARMA PONTE';'VOTORANTIM';2;2;;4
7420000000000;'REMEDIO POPULAR FARMA PONTE';'VOTORANTIM';;1;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';1;;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';2;3;;5
7420000000000;'REMEDIO POPULAR FARMA PONTE';'BOITUVA';2;5;;7
7420000000000;'REMEDIO POPULAR FARMA PONTE';'JUNDIAI';2;3;;4
7420000000000;'REMEDIO POPULAR FARMA PONTE';'JUNDIAI';1;2;;3
7420000000000;'REMEDIO POPULAR FARMA PONTE';'JUNDIAI';2;1;;3
7420000000000;'REMEDIO POPULAR FARMA PONTE';'JUNDIAI';4;1;;5
7420000000000;'REMEDIO POPULAR FARMA PONTE';'ITU';4;4;1;9
7420000000000;'REMEDIO POPULAR FARMA PONTE';'VOTORANTIM';2;4;;6
7420000000000;'REMEDIO POPULAR FARMA PONTE';'VOTORANTIM';1;;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'FRANCO DA ROCHA';1;;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'FRANCO DA ROCHA';1;;;1
7420000000000;'REMEDIO POPULAR FARMA PONTE';'VOTORANTIM';;3;;3
7420000000000;'FCIA SAN RAFAEL';'BOM JARDIM DA SERRA';;1;;1
7420000000000;'DROG REIS';'SANTOS';1;;;1
7420000000000;'FCIAM CENEFARMA';'CURITIBA';1;1;;1
7420000000000;'DROG OFERTAO';'RIO DE JANEIRO';5;2;;7
7430000000000;'FCIA TR LTDA';'NITEROI';1;2;;3
7430000000000;'DROG RELUX';'MAIRINQUE';1;;;1
7430000000000;'DROG FORMA NOVA';'BOM JESUS DOS PERDOES';3;2;1;6
7430000000000;'DROGARIA SAO SILVESTRE - 3697';'GUACUI';2;;1;3
7430000000000;'FCIA EXXI PHARMA';'RESENDE';3;1;;4
7430000000000;'FARMACIA BOA ESPERANCA';'MOMBACA';;1;;1
7430000000000;'ASPACE-RJ';'RIO DE JANEIRO';;4;;4
7430000000000;'ASPACE-RJ';'RIO DE JANEIRO';25;28;;53
7430000000000;'DROG NORTELANDIA';'NORTELANDIA';;1;;1
7430000000000;'FCIA FACIL';'CAMPINAS';;7;;7
7440000000000;'FCIA NOVA';'ENCRUZILHADA DO SUL';1;;;1
7440000000000;'FCIA NOVA';'ENCRUZILHADA DO SUL';;3;;3
7440000000000;'FCIA NOVA';'TRIUNFO';;2;;2
7440000000000;'FCIA NOVA';'ARROIO DOS RATOS';2;;;2
7440000000000;'UNIAO FARMA IPORANGA';'GUARULHOS';2;2;;4
7440000000000;'DROGARIA MODERNA';'SIDROLANDIA';;2;;2
7440000000000;'DROGARIA SAO RAFAEL';'SACRAMENTO';2;4;;6
7440000000000;'DROG SAO PIO X';'SAO GOTARDO';;1;;1
7440000000000;'DROG BOM JESUS';'GUZOLANDIA';1;;;1
7440000000000;'DROG DIFARMA';'SAO PAULO';1;1;;2
7440000000000;'DROG OLIVEIRA';'PALMEIRA DOESTE';1;1;;1
7440000000000;'DROGARIA C. M. PIMENTA';'GUARULHOS';1;;;1
7440000000000;'FARMACERTA';'GETULINA';1;1;;2
7440000000000;'DROG MARCELA';'ELDORADO';;1;;1
7450000000000;'DROG ALIANCA';'ARINOS';1;1;;1
7450000000000;'FCIA FAMILIAR DE SAO JOAO';'SAO JOAO DE MERITI';14;24;;38
7450000000000;'FARMA VIDA';'SAO JOSE DO RIO PRETO';2;3;;5
7450000000000;'FCIA MIGUEL RAONI';'PORTO ALEGRE';;1;;1
7450000000000;'FCIA FARMAVIDA';'PARANAVAI';;1;;1
7450000000000;'DSG FARMA';'ITAMOGI';3;1;1;5
7450000000000;'DROG ALIANCA';'PRESIDENTE VENCESLAU';5;5;1;10
7450000000000;'DROG BOM PRE¦O';'APARECIDA DE GOIANIA';;1;;1
7460000000000;'DROG AYRAO';'ITAOCARA';;1;;1
7460000000000;'DROGA MAX';'RIO DE JANEIRO';6;11;1;17
7460000000000;'DROGA MAX';'RIO DE JANEIRO';10;10;2;22
7460000000000;'FARMACIA SAO JOSE';'SURUBIM';1;2;;3
7460000000000;'FCIA FARMIL';'CARAPICUIBA';;1;;1
7460000000000;'DROG MAURO E HELDA';'RIBEIRAO PRETO';;16;;16
7470000000000;'DROG SAO JUDAS';'SAO JOAO DA BOA VISTA';0;;;0
7470000000000;'FCIA ALOISIO';'ITAJUBA';1;2;;3
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';2;2;;4
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;1;1;3
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';;;1;1
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;1;;2
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';;3;;3
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;1;1;3
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;1;1;3
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;1;;2
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;3;;4
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';;1;;1
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;2;;3
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';2;2;1;5
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';3;1;;4
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';;1;1;2
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';;1;;1
7470000000000;'FARMACIA DOSE CERTA';'MARACANAU';3;1;;4
7470000000000;'FARMACIA DOSE CERTA';'MARACANAU';1;4;;5
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';3;3;2;8
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;3;1;5
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';5;;;5
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';2;2;;4
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';5;1;;6
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';2;4;;6
7470000000000;'FARMACIA DOSE CERTA';'CAUCAIA';2;1;;3
7470000000000;'FARMACIA DOSE CERTA';'CAUCAIA';1;1;;2
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';4;1;;5
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';4;;;4
7470000000000;'FARMACIA DOSE CERTA';'FORTALEZA';1;1;;2
7470000000000;'FARMACIA DOSE CERTA';'EUSEBIO';;5;;5
7470000000000;'FARMACIA DOSE CERTA';'EUSEBIO';;5;;5
7470000000000;'FCIA MARINHO BRANDAO';'SAO GONCALO';6;4;;10
7470000000000;'DROG DA SAUDADE';'JABOTICABAL';;1;;1
7470000000000;'FCIA MEDICAL';'UNAI';;4;1;5
7470000000000;'FCIA LIMA';'BOM JESUS DO ITABAPOANA';;1;;1
7470000000000;'DROGARIA ABOLICAO';'MOSSORO';;2;;2
7470000000000;'FARMACENTER';'TIMBAUBA';;1;;1
7470000000000;'DROGA MAIS VILA';'ALEM PARAIBA';2;;;2
7470000000000;'DROG POPULAR';'SAO DOMINGOS DO PRATA';4;5;;9
7480000000000;'DROG RODRIGUES';'NOVA VENECIA';;1;;1
7480000000000;'MEDICINE DROGARIA LTDA.';'SERAFINA CORREA';4;;;4
7480000000000;'MEDICINE DROGARIA LTDA ME';'SERAFINA CORREA';4;8;;12
7480000000000;'DROG VIDA';'CONCEICAO DO RIO VERDE';;1;;1
7480000000000;'FARMA E CIA';'SAO PAULO';14;6;;20
7480000000000;'WILSON DE MELO FERREIRA';'UNIAO';3;1;;4
7480000000000;'FCIA PRONTOFARMA';'PEDRO II';;1;;1
7480000000000;'DROG HIGIA FARMA';'JOSE BONIFACIO';1;3;;4
7490000000000;'DROG CRISTAL';'RIO DE JANEIRO';5;;;5
7490000000000;'DROG MULTI';'MUQUI';;1;;1
7490000000000;'DROGARIA FARMA FLORES';'SANTA MARIA';1;;;1
7490000000000;'DROGARIA E FARMA FLORES';'SANTA MARIA';1;;;1
7490000000000;'DROG GENERICA';'ESPERANTINA';;1;;1
7490000000000;'DROGARIA GENERICA';'ESPERANTINA';1;;;1
7490000000000;'DROG MARTINS';'SANTA RITA DO PASSA QUATRO';1;1;;2
7490000000000;'DROG MACEDO';'MACAIBA';3;4;;7
7490000000000;'DROG TULIO DE ROSE';'CANOAS';3;2;;5
7490000000000;'DSG FARMA';'CAPITOLIO';2;1;;3
7490000000000;'DSG FARMA';'CAPITOLIO';;2;;2
7490000000000;'DROGAZITO II';'PITANGUEIRAS';2;1;;3
7490000000000;'FCIA TEIXEIRA';'RIO DE JANEIRO';;2;1;3
7500000000000;'PHARMAPLUS';'RECIFE';;4;;4
7500000000000;'DROG POLO';'SAO GONCALO';;3;;3
7500000000000;'DROGARIA LITORAL';'ITANHAEM';;;1;1
7500000000000;'DROG MASTER';'JATAI';;2;;2
7500000000000;'FCIA FARMASTEINER';'SAO MARTINHO';6;2;;8
7500000000000;'DROG BELA VIDA';'LEOPOLDINA';1;;;1
7500000000000;'DROG PERF VIA BRASIL';'SAO PAULO';7;;2;9
7510000000000;'DROGAMINAS';'DIVINOPOLIS';;10;;10
7510000000000;'DROGARIA POUPA MINAS';'DIVINOPOLIS';;3;;3
7510000000000;'DROGARIA POUPA MINAS';'NOVA SERRANA';;4;;4
7510000000000;'DROGARIA POUPA MINAS';'DIVINOPOLIS';;16;;16
7510000000000;'FARMACIA POPULAR - 3605';'VILA VALERIO';2;5;;7
7510000000000;'FCIA VITORIA';'RONDON DO PARA';1;1;;2
7510000000000;'FCIA VITA FARMA';'TELEMACO BORBA';;3;;3
7510000000000;'FCIA PHARMAVIDA';'RIO ESPERA';;1;;1
7510000000000;'FCIA DE MAN VIDA FORMULAS';'CAMBIRA';1;;;1
7520000000000;'DROGABEL';'VIAMAO';;2;;2
7520000000000;'FCIA UNIDOS PORTO DA PEDR';'SAO GONCALO';2;1;;3
7520000000000;'FCIA SANTA MARTA';'COLINAS DO SUL';;2;;2
7520000000000;'FCIA ALTAS HORAS';'RIO DE JANEIRO';1;;;1
7520000000000;'FCIA SAO JOSE';'VIRADOURO';22;11;;33
7520000000000;'DROG SAO GABRIEL';'JABORANDI';1;1;;2
7520000000000;'FCIA MODERNA';'MARICA';;1;;1
7520000000000;'FCIA FARMAFONE';'PONTA GROSSA';3;12;;15
7520000000000;'FCIA FARMASETE';'JARDINOPOLIS';1;1;;2
7520000000000;'FCIA JULIANA';'VILA MURIQUI (MANGARATIBA)';1;1;;2
7520000000000;'BIOFARMA - FARMACIA DE MANIPULACAO';'NATAL';6;;;6
7530000000000;'FCIA M F GONCALVES DA SIL';'CAMPOS DO JORDAO';3;;;3
7530000000000;'FARM MIRANDA';'UBAJARA';3;3;;6
7530000000000;'FARMACIAS MEDFAR';'TRES DE MAIO';1;;;1
7530000000000;'DROG PHARMA BRASILIS';'UBERLANDIA';1;;;1
7530000000000;'FARMACIAS BIGFORT';'CAMPO GRANDE';9;;2;11
7530000000000;'FCIA DIDI FARMA';'RIO CLARO';12;24;;36
7530000000000;'HIPERFARMA';'COLOMBO';1;;;1
7530000000000;'DROG DO PONTO';'BELFORD ROXO';2;2;;4
7530000000000;'VIDA FARMA';'PASSO FUNDO';1;;;1
7530000000000;'DROG SAO FRANCISCO';'JAU';1;;;1
7540000000000;'DROG NOSSA REDE';'RIO DE JANEIRO';9;6;;15
7540000000000;'DROG SAO JOSE';'BOM JESUS DO GALHO';2;;;2
7540000000000;'FCIA MOREIRA';'PALMEIRANDIA';1;1;;2
7540000000000;'DROGARIA RETIRO';'VOLTA REDONDA';2;;;2
7540000000000;'DROGARIA PROGRESSO';'PRESIDENTE VENCESLAU';2;6;;8
7540000000000;'DROGARIA AQUIMIA';'LUZ';2;2;;4
7540000000000;'FCIA DOS GENERICOS';'ITUPORANGA';;1;;1
7540000000000;'FCIA SAO LUCAS';'SAO JOSE DA BOA VISTA';1;2;;3
7540000000000;'FCIA MASIL';'RIBEIRAO PRETO';6;;;6
7550000000000;'FARMACIA MENOR PRECO';'REDENCAO';1;1;;2
7550000000000;'FRANCISCO ELTON APOLONIO MENDES -ME';'BATURITE';2;;;2
7550000000000;'FCIA TRADICAO';'RIO DE JANEIRO';6;1;;7
7550000000000;'DROG H C FARMA';'ALENQUER';;1;;1
7550000000000;'FARMACONI';'BARREIROS';2;;;2
7560000000000;'DROG FARMAVIDA';'MARTINOPOLIS';2;2;;4
7560000000000;'DROG PADRE JOSE DANIEL';'VICENTINA';;4;;4
7560000000000;'DROG MUNDIAL';'RIO DE JANEIRO';1;;;1
7560000000000;'FCIA AMIZADE';'CONSTANTINA';2;;;2
7560000000000;'FCIA NSA SRA APARECIDA';'OUVIDOR';;1;;1
7560000000000;'FCIA POPULAR';'PIRES DO RIO';7;7;;14
7560000000000;'DROG TOP PHARMA';'JUIZ DE FORA';1;;;1
7560000000000;'DROG INDEPENDENCIA';'PORTO FERREIRA';;1;;1
7570000000000;'FARMACIA PIRES';'IBICARAI';2;;;2
7570000000000;'DROGARIA AMERICANA';'ALFENAS';3;;;3
7570000000000;'DROG DO POVO';'FORMOSA';1;;;1
7570000000000;'DROG A ESPECIALISTA';'SANTOS';2;;;2
7570000000000;'CRUZ AZUL FARMACIAS';'RODEIO BONITO';4;4;;8
7570000000000;'CRUZ AZUL FARMACIAS';'ERVAL SECO';1;;;1
7570000000000;'CRUZ AZUL FARMACIAS';'PALMEIRA DAS MISSOES';1;;;1
7570000000000;'DROG VIDA';'FRANCA';1;2;;2
7570000000000;'FARMAJU';'AJURICABA';;2;;2
7580000000000;'DROGARIA NOVA OLINDA';'SAO JOSE DOS CAMPOS';;10;;10
7580000000000;'DROGARIA JEOVA RAFA';'SANTANA DO PARAISO';;1;;1
7580000000000;'DROG SULAVI';'SAO PAULO';;6;;6
7580000000000;'DROG DROGA 1000';'CURITIBA';1;;;1
7580000000000;'DROG FARMASETE';'JULIO MESQUITA';;2;;2
7580000000000;'FCIA ILHA';'ILHABELA';1;;;1
7580000000000;'FARMACIA THOMAZ';'SOBRAL';1;1;;2
7590000000000;'M FARMA';'CONCEICAO DA BARRA';;1;;1
7590000000000;'DROGA LIDER';'GURUPI';;2;;2
7590000000000;'DROG SAO CARLOS';'RIO MARIA';;1;;1
7590000000000;'FARMACIA VASCONCELOS';'CRATO';1;;1;2
7590000000000;'DROG FARIAS';'SAO PAULO';;1;;1
7590000000000;'DROG REY';'BARRETOS';1;1;;2
7590000000000;'DROG BANDEIRANTE';'ANAPOLIS';;1;;1
7600000000000;'FARMACIA SANTA MARIA - 3698';'SANTA MARIA DE JETIBA';2;;;2
7600000000000;'DROG DROGA FORTE';'PASSOS';12;8;1;20
7600000000000;'DROG VITA FARMA';'PRESIDENTE ALVES';2;1;;3
7610000000000;'DROG CRISTAL';'RIO DE JANEIRO';24;30;;54
7610000000000;'DROG JIND';'SAO JOSE DOS CAMPOS';2;2;;4
7610000000000;'FARMACIA RUY BARBOSA';'RUY BARBOSA';1;1;;1
7610000000000;'DROG PONTENOVENSE';'PONTE NOVA';;3;;3
7610000000000;'DROG SAO PAULO';'SAO MATEUS';2;;;2
7610000000000;'CITYFARMA';'SAO GONCALO';1;2;;3
7610000000000;'CITYFARMA';'ITABORAI';2;;;2
7610000000000;'DROGA VIDA';'POSSE';;;1;1
7610000000000;'FCIA ADRIAN';'RIO DE JANEIRO';3;1;;4
7610000000000;'FCIA FARMA OESTE';'SANTA MARIA DO OESTE';1;;;1
7610000000000;'FARMACIA TABOCAS';'JABOATAO DOS GUARARAPES';3;4;;7
7610000000000;'FCIA SANTA ROSA';'BAURU';3;1;;3
7620000000000;'DROGARIAS NAZARE';'MANAUS';1;;;1
7620000000000;'DROG ALMODOVAR';'SALTO DE PIRAPORA';1;1;;1
7620000000000;'DROG FUTURA';'JOAO NEIVA';;1;;1
7620000000000;'DROG FAZOLO FARMA';'QUATITUBA (ITUETA)';;1;;1
7620000000000;'FARMACIA FAMILIA';'AQUIRAZ';1;1;;2
7620000000000;'DROGARIA ATUAL';'MACAE';5;;1;6
7620000000000;'FCIA NOVAFARMA';'PARANAIBA';2;;;2
7620000000000;'DROG SANTA SUZANA';'SUZANO';1;;;1
7620000000000;'DROG SANTA SUZANA';'POA';2;;;2
7620000000000;'FCIA MIL FARMA';'RIO DE JANEIRO';1;;;1
7620000000000;'DROG SANTA ISABEL';'FERNANDO PRESTES';;1;;1
7620000000000;'DROG VIP';'ANAPOLIS';3;2;;5
7630000000000;'DELTA FARMA';'UBERLANDIA';27;2;;29
7630000000000;'FCIA FARMA FACIL';'CUIABA';9;;;9
7630000000000;'DROG CIA DA SAUDE';'RIBEIRAO PRETO';2;;;2
7630000000000;'S S DROGARIA E PERFUMARIA';'NOVA IGUACU';1;;;1
7630000000000;'DROG VIDA';'LUCAS DO RIO VERDE';4;2;2;8
7630000000000;'FARMACIA NOSSA SENHORA DE FATIMA - UNIDADE AMIGAO';'LINS';1;4;;5
7630000000000;'DROGAMAIS - CENTRO';'ALEM PARAIBA';2;1;;3
7630000000000;'FCIA BOAS NOVAS';'MATRINCHA';1;1;;2
7630000000000;'ULTRA POPULAR 00101';'MONTE ALTO';;3;;3
7630000000000;'FARMACIA POPULAR';'JANDUIS';;1;;1
7630000000000;'DROG SAO CRISTOVAO';'PALMEIRAS DE GOIAS';3;3;;6
7640000000000;'FCIA FARMASTER';'ARARUAMA';2;;;2
7640000000000;'DROG DA GENTE';'SALVADOR';1;2;;3
7640000000000;'FARMACIA DO JOAQUIM';'GOIAS';2;4;;6
7640000000000;'FCIA GARCIA FERREIRA';'UBERLANDIA';;;1;1
7650000000000;'FARMACIA O RODOLFO';'SOBRAL';6;6;;12
7650000000000;'DROGARIA QUEIROZ';'ARCEBURGO';5;8;;13
7650000000000;'PARAFARMA';'BREVES';3;1;;4
7650000000000;'DROGARIA LIDER';'BOA ESPERANCA';3;;;3
7650000000000;'DROG DROGAVILA';'RIO DE JANEIRO';;2;;2
7650000000000;'SAUDE FARMA - 3639';'MUNIZ FREIRE';1;4;;5
7650000000000;'FARMACIA SAUDE E VIDA';'SAO BENEDITO';1;1;1;3
7650000000000;'FCIA DO BATATA';'CONTAGEM';;3;;3
7650000000000;'FCIA FARMAVEN';'MATAO';6;11;;17
7660000000000;'FCIA FARMA 1';'NOVA ODESSA';1;;;1
7660000000000;'FARMACIA DUDA E GABI';'SALVADOR';;1;;1
7660000000000;'FARMACIA BOA VENTURA';'ITAPERUNA';2;1;;3
7660000000000;'DROG SANTA RITA';'PRESIDENTE OLEGARIO';1;2;;3
7660000000000;'DROGARIA PAPS';'TEOTONIO VILELA';;3;;3
7660000000000;'FARMAMED FARMACIAS';'SANTA CRUZ DO SUL';1;;;1
7660000000000;'FARMACIA SAO LUCAS';'IJUI';1;1;1;3
7660000000000;'FARMACIA SAO LUCAS';'IJUI';1;;;1
7660000000000;'FARMACIA SAO LUCAS';'IJUI';;1;;1
7660000000000;'FARMACIA JUNIOR PRETTI - 3691';'SANTA MARIA DE JETIBA';5;;;5
7670000000000;'DROGARIA SAO JOSE TRES VENDAS';'ERECHIM';4;6;;10
7670000000000;'DROGARIA CENTRAL';'ALEGRE';3;2;;5
7670000000000;'DROG SANTA LUZIA';'VARGEM GRANDE DO SUL';3;6;;9
7670000000000;'FCIA SAO FRANCISCO';'FORTALEZA';1;;;1
7670000000000;'FARMACIA SAUDE';'GUARATINGUETA';2;9;2;13
7670000000000;'FCIA SAO MARCOS';'IRETAMA';4;1;;5
7670000000000;'FCIA HELP FHARMA';'MOGI DAS CRUZES';;1;;1
7670000000000;'DROG SANTO ANTONIO';'CONCEICAO DOS OUROS';1;1;;2
7670000000000;'FARMACIA SAO FRANCISCO';'POTENGI';1;;;1
7670000000000;'DROG MARCELO';'ARARAQUARA';;;1;1
7670000000000;'DROG CENTRAL';'TREMEMBE';;1;;1
7670000000000;'FARMACIA NOVA';'COARACI';;1;;1
7680000000000;'DROGARIA NOBRE';'SAO JOSE DE MIPIBU';;2;;2
7680000000000;'DROGARIA NOBRE';'NATAL';1;1;;2
7680000000000;'DROGARIA NOBRE';'SANTO ANTONIO';;1;;1
7680000000000;'DROGARIA NOBRE';'NOVA CRUZ';1;4;;5
7680000000000;'FCIA CANTELE';'CURITIBA';1;1;;2
7680000000000;'PRONTO FARMA';'SAO LEOPOLDO';;1;;1
7680000000000;'FARMAGIL';'JOAQUIM TAVORA';3;1;;4
7680000000000;'FARMACIA SAO LUCAS';'SANTANA DO ITARARE';;1;;1
7680000000000;'DROG BOA VISTA';'ARAXA';1;;;1
7680000000000;'DROG DROGA BELA';'FRANCA';7;9;;16
7680000000000;'FCIA VIDA FARMA';'RIO DE JANEIRO';4;2;;6
7680000000000;'DROG  CRISTAL';'RIO DE JANEIRO';16;;;16
7680000000000;'FCIA ESQUINA DA FE';'FERRAZ DE VASCONCELOS';3;;;3
7680000000000;'DROG IPERO';'IPERO';;3;;3
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';5;1;;6
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';3;5;1;9
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';1;1;;2
7690000000000;'REMEDIO POPULAR FARMA PONTE';'IBIUNA';6;4;1;11
7690000000000;'REMEDIO POPULAR FARMA PONTE';'IBIUNA';2;;;2
7690000000000;'REMEDIO POPULAR FARMA PONTE';'CERQUILHO';3;;;3
7690000000000;'REMEDIO POPULAR FARMA PONTE';'CERQUILHO';1;;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'ITAPEVA';5;4;;9
7690000000000;'REMEDIO POPULAR FARMA PONTE';'ITAPEVA';1;1;;2
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';3;2;;5
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';7;3;;10
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';2;7;2;11
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';;;2;2
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';8;1;;9
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';1;;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';6;2;;7
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';;1;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';3;2;;5
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';;1;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';1;;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';1;6;;7
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';;2;;2
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';4;4;;8
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';2;2;;4
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';3;1;;4
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO PAULO';1;;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'PIEDADE';9;16;3;28
7690000000000;'REMEDIO POPULAR FARMA PONTE';'PIEDADE';2;2;2;6
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';4;3;;6
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';1;1;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SANTANA DE PARNAIBA';;;1;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';5;3;;8
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';2;;;2
7690000000000;'REMEDIO POPULAR FARMA PONTE';'CERQUILHO';1;;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'CERQUILHO';1;;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';1;4;1;5
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';1;3;;4
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SALTO DE PIRAPORA';2;2;;4
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SALTO DE PIRAPORA';;1;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'TIETE';1;2;;3
7690000000000;'REMEDIO POPULAR FARMA PONTE';'TIETE';;1;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SAO VICENTE';1;;;1
7690000000000;'REMEDIO POPULAR FARMA PONTE';'SOROCABA';1;;;1
